FieldText,isPII,isCalc
taxable year ending - month day year,0,0
taxable year beginning - month and day,0,0
name,1,0
part b business activity code - naics,0,0
ein this entity - employer's identification number,0,0
number and street of principle office,0,0
part c date business began in kansas - month day year,0,0
zip code,1,0
city,1,0
state abbreviation,1,0
ein federal consolidated parent - employer's identification number(s),0,0
part d date business discontinued in kansas - month day year,0,0
part e month / year of incorporation - month year,0,0
part e state of incorporation - abbreviation,0,0
part a1 activity wholly within kanss - single entity,0,0
part a2 activity wholly within kanss - consolidated,0,0
part l enter your original federal due date of other than the 15th day of the 3rd month after the end of the tax year - month day year,0,0
part f state of commercial domicile - abbreviation,0,0
part a3 single entity apportionment method - k-120as,0,0
part a4 combined income method - single corporation filing k-121,0,0
part a5 combined income method - multiple corporation filing k-121,0,0
part g type of federal return filed - 2 consolidated,0,0
part g type of federal return filed - 1 separate,0,0
part a6 year qualified,0,0
part a6 qualified elective two-factor k-120as,0,0
part a7 common carrier mileage - enclose mileage apportionment schedule,0,0
part j if any taxpayer information has changed since the last return was filed please check this box,0,0
part h check the box if you have submitted a kansas form k-120el,0,0
part a8 alternative or separate accounting - enclose letter of authorization and schedule,0,0
mark this box if you are filing this as an amended 2014 kansas return,0,0
amending reason - amended federal tax return,0,0
amending reason - amended affects kansas only,0,0
amending reason - adjustment by the irs,0,0
1 federal taxable income,0,0
2 total state and municipal interest,0,0
3 taxes on or measured by income or fees or payments in lieu of income taxes - part iv line2,0,1
4 federal net operating loss deduction,0,0
7 other additions to federal taxable income - schedule required,0,0
8 total additions to federal taxable income - add lines 2 - 7,0,1
9 interest on us government obligations - part v line 2,0,1
10 irc section 78 and 80% of foreign dividends - schedule required,0,0
15 other subtractions from federal taxable income - schedule required,0,0
16 total subtractions from federal taxable income - add lines 9 - 15,0,1
17 net income before apportionment - add line 1 to line 8 then subtract line 16,0,1
18 nonbusiness income - total company - schedule required,0,0
19 apportionable business income - subtract line 18 from line 17,0,1
20c average percent to kansas - part vi line c; if 100% enter 100.0000,0,1
20a average percent to kansas - part vi line a; if 100% enter 100.0000,0,1
20b average percent to kansas - part vi line b; if 100% enter 100.0000,0,1
20 average percent to kansas - if 100% enter 100.0000,0,0
21 amount to kansas - multiply line 19 by line 20,0,1
22 nonbusiness income - kansas - schedule required,0,0
23 kansas expensing recapture,0,0
24 kansas expensing deduction,0,0
25 kansas net income before nol deduction - add lines 21 - 23 then subtract line 24,0,1
26 kansas net operating loss deduction - schedule required,0,0
27 combined report k-121 or alternative/separate accounting income - separate schedule,0,0
28 kansas taxable income - subtract liine 26 from line 25 or enter line 27,0,1
29 normal tax - 4% of line 28,0,1
30 surtax - 3% of line 28 in excess of $50;000,0,1
32 total nonrefundable credits - part l line 30; cannot exceed amount on line 31,0,1
33 balance - subtract 32 from line 31; cannot be less than zero,0,1
34 estimated tax paid and amount credited forward - part ll line 4,0,1
35 other tax payments - enclose separate schedule,0,0
36 amount paid with kansas extension,0,0
37 total of all other refundable credits - part l line 37,0,1
38 payment remitted with original return,0,0
39 overpayment from original return - this figure is a subtraction,0,0
40 total prepaid credits - add lines 34 - 38 and subtract line 39,0,1
41 balance due - if line 33 exceeds line 40 subtract from line 33,0,1
42 interest,0,0
43 penalty,0,0
44 estimated tax penalty,0,0
44 if annualizing to compute penalty check this box,0,0
45 total tax; interest and penalty due - add lines 41 - 44; complete form k-120v and enclose it with your payment,0,1
46 overpayment - if line 33 plus line 44 is less than line 40 subtract the sum of lines 33 and 44 from line 40,0,1
47 refund - enter the amount of line 46 you wish to be refunded,0,0
48 credit forward - enter the amount of line 46 (original return only) you wish to be applied to 2022 estimated tax; line 48 cannot exceed the total of lines 34 - 36,0,0
i authorize the director of taxation or the directors designee to discuss my k-120 and enclosures with my preparer,0,0
signature of officer,1,0
title of officer,0,0
date,0,0
individual or firm signature of preparer,1,0
address and phone number of preparer,1,0
date2,0,0
tax preparers ein or ssn,1,0
part l - 1 center for entrepreneurship credit - enclose k-31,0,0
part l - 2 agritourism liability insurance credit - enclose k-33,0,0
part l - 3 business and job development credit - enclose k-34 - for carry forward only,0,0
part l - 4 historic preservation credit - enclose k-35,0,0
part l - 5 disabled access credit - enclose k-37,0,0
part l - 6 swine facility improvement credit - enclose k-38,0,0
part l - 7 oil and gas well plugging credit - enclose k-39,0,0
part l - 8 assistive technology contribution credit - enclose k-42,0,0
part l - 9. eisenhower foundation credit (enclose schedule k-43),0,0
part l - 10 purchases from qualified vendor credit - enclose k-44,0,0
part l - 11. friends of cedar crest association credit (enclose schedule k-46),0,0
part l - 12 qualified charitable distribution credit (enclose schedule k-48),0,0
part l - 13 research and development credit - enclose k-53,0,0
part l - 14 venture capital credit - enclose k-55 - for carry forward only,0,0
part l - 15 seed capital credit - enclose k-55 - for carry forward only,0,0
part l - 16 high performance incentive program credit - enclose k-59,0,0
part l - 17 community service contribution credit - enclose k-60,0,0
part l - 18 alternative-fuel motor vehicle property credit - enclose k-62,0,0
part l - 19 low income student scholarship credit - enclose k-70,0,0
part l - 20 law enforcement training center credit - enclose k-72 - for carry forward only,0,0
part l - 21 petroleum refinery credit - enclose k-73 - for carry forward only,0,0
part l - 22 kansass national guard and reserve employer credit - enclose k-74,0,0
part l - 23 single city port authority credit - enclose k-76,0,0
part l - 24 qualifying pipeline credit - enclose k-77 - for carry forward only,0,0
part l - 25 biomass-to-energy credit - enclose k-79 - for carry forward only,0,0
part l - 26 environmental compliance credit - enclose k-81,0,0
part l - 27 storage and blending equipment credit - enclose k-82 - for carry forward only,0,0
part l - 28 electric cogeneration facility credit - enclose k-83 - for carry forward only,0,0
part l - 29 farm net operating loss - enclose k-139f,0,0
part l - 30 total nonrefunadable credits - add lines 1 - 29; enter here and on line 32 page 2,0,1
part l - 31 telecummonications and railroad credit - enclose k-36,0,0
part l - 32 child day care assistance credit - enclose k-56,0,0
part l - 33 small empoyer healthcare credit - enclose k-57,0,0
part l - 34 community service contribution credit - enclose k-60,0,0
part l - 35 individual development account credit - enclose k-68,0,0
part l - 36 farm net operating loss - enclose k-139f,0,0
part l - 37 total refundable credits - add lines 31 - 36; enter here and on line 37 page 2,0,1
part ll 1 did the corporation file a kansas income tax return under the same name for the preceding year - yes,0,0
part ll 1 did the corporation file a kansas income tax return under the same name for the preceding year - no,0,0
part ll 1 if no; enter previous name,0,0
part ll 6 if this is a final return for kansas state the reason; if the corporation was liquidated or dissolved state the irc section under which the corporation was liquidated; contd,0,0
part ll 1 if no; enter previous name2,0,0
part ll 1 if no; enter previous ein,0,0
part ll 2 enter the address of the corpations principal location in kansas - street address,0,0
part ll 2 enter the address of the corpations principal location in kansas - city state zip code,0,0
part ll 3 the corporations books are in care of - name,1,0
part ll 7 if your federal taxable income has been determined for any prior years that have not previously been reported to kansas check the applicable box(es) below - revenue agents report,0,0
part ll 7 if your federal taxable income has been determined for any prior years that have not previously been reported to kansas check the applicable box(es) below - net operating loss,0,0
part ll 3 the corporations books are in care of - street address,1,0
part ll 7 if your federal taxable income has been determined for any prior years that have not previously been reported to kansas check the applicable box(es) below - amended return,0,0
part ll 3 the corporations books are in care of - city state zip code,1,0
part ll 7 if your federal taxable income has been determined for any prior years that have not previously been reported to kansas check the applicable box(es) below - state the calendar; fiscal or short period year ending date,0,0
part ll 3 the corporations books are in care of - telephone number,1,0
part ll 8 if you are registered with the kansas department of revenue under any other kansas tax act enter all registration or license numbers on the applicable line - a sales tax,0,0
part ll 4 list each estimated tax payment and credit forward amount claimed on this return - date,0,0
part ll 4 list each estimated tax payment and credit forward amount claimed on this return - amount,0,0
part ll 4 list each estimated tax payment and credit forward amount claimed on this return - date 4,0,0
part ll 4 list each estimated tax payment and credit forward amount claimed on this return - amount 4,0,0
part ll 8 if you are registered with the kansas department of revenue under any other kansas tax act enter all registration or license numbers on the applicable line - b compensating use tax,0,0
part ll 4 list each estimated tax payment and credit forward amount claimed on this return - date 2,0,0
part ll 4 list each estimated tax payment and credit forward amount claimed on this return - amount 2,0,0
part ll 4 list each estimated tax payment and credit forward amount claimed on this return - date 5,0,0
part ll 4 list each estimated tax payment and credit forward amount claimed on this return - amount 5,0,0
part ll 8 if you are registered with the kansas department of revenue under any other kansas tax act enter all registration or license numbers on the applicable line - c withholding tax,0,0
part ll 4 list each estimated tax payment and credit forward amount claimed on this return - date 3,0,0
part ll 4 list each estimated tax payment and credit forward amount claimed on this return - amount 3,0,0
part ll 4 list each estimated tax payment and credit forward amount claimed on this return - date 6,0,0
part ll 4 list each estimated tax payment and credit forward amount claimed on this return - amount 6,0,0
part ll 8 if you are registered with the kansas department of revenue under any other kansas tax act enter all registration or license numbers on the applicable line - d other; specify,0,0
part ll 8 if you are registered with the kansas department of revenue under any other kansas tax act enter all registration or license numbers on the applicable line - d other; specify contd,0,0
5 has your corporation been involved in any reorganization during the period covered by this return - no,0,0
5 has your corporation been involved in any reorganization during the period covered by this return - yes,0,0
