,business_id,income,tax_paid,agg_deduc,deduc_1,deduc_2,deduc_16,deduc_17
2022Q4,52586982,277279.13,44723.28,62756.97,43085.18,19671.8,0.0,0.0
2022Q3,52586982,255410.23,38509.63,71183.93,50096.27,21087.66,0.0,0.0
2022Q2,52586982,218610.05,21978.63,67926.8,47515.76,20411.04,0.0,0.0
2022Q1,52586982,125125.11,3039.1,36869.92,23628.52,13241.4,0.0,0.0
2021Q4,52586982,247993.65,48620.28,20224.52,20224.52,0.0,0.0,0.0
2021Q3,52586982,341446.72,57477.84,121743.8,57881.02,63862.79,0.0,0.0
2021Q2,52586982,142821.26,4978.59,64496.11,64496.11,0.0,0.0,0.0
2021Q1,52586982,337916.06,55729.23,127762.73,65579.4,62183.33,0.0,0.0
2020Q4,52586982,199856.0,18051.11,55422.76,55422.76,0.0,0.0,0.0
2020Q3,52586982,323165.23,54354.72,98510.79,98510.79,0.0,0.0,0.0
2020Q2,52586982,168176.98,9679.3,69948.27,37745.83,32202.44,0.0,0.0
2020Q1,52586982,282084.83,48890.33,56056.65,14998.01,41058.65,0.0,0.0
2019Q4,52586982,339116.7,69106.16,60313.08,53990.32,6322.76,0.0,0.0
2019Q3,52586982,309374.81,67409.94,23132.84,20634.67,2498.18,0.0,0.0
2019Q2,52586982,199370.83,23908.47,5270.12,3662.81,1607.31,0.0,0.0
2019Q1,52586982,253558.62,28478.48,87790.23,52864.98,34925.25,0.0,0.0
2018Q4,52586982,259548.3,44994.71,26348.59,16783.01,9565.58,0.0,0.0
2018Q3,52586982,240173.0,34242.32,41939.88,20740.25,21199.63,0.0,0.0
2018Q2,52586982,155524.84,11204.09,19984.8,9953.66,10031.14,0.0,0.0
2018Q1,52586982,242795.63,33833.72,55482.5,55482.5,0.0,0.0,0.0
2017Q4,52586982,181677.33,15958.52,27967.08,12026.69,15940.39,0.0,0.0
2017Q3,52586982,127264.79,3493.38,36154.7,36154.7,0.0,0.0,0.0
2017Q2,52586982,260901.41,47065.72,42256.74,24719.07,17537.67,0.0,0.0
2017Q1,52586982,266746.47,39668.01,79104.06,79104.06,0.0,0.0,0.0
2016Q4,52586982,85192.48,0.0,28690.57,14951.51,13739.06,0.0,0.0
2016Q3,52586982,198599.36,22936.18,52702.18,26789.55,25912.63,0.0,0.0
2016Q2,52586982,316306.34,66729.21,32549.96,0.0,32549.96,0.0,0.0
2016Q1,52586982,314670.3,63629.73,51091.72,22588.31,28503.41,0.0,0.0
2015Q4,52586982,454277.16,110111.17,126907.74,126907.74,0.0,0.0,0.0
2015Q3,52586982,212239.5,23286.92,40788.91,19076.16,21712.76,0.0,0.0
2015Q2,52586982,138797.92,4931.32,50561.65,50561.65,0.0,0.0,0.0
2015Q1,52586982,461783.88,136461.21,89323.65,69291.57,20032.08,0.0,0.0
2014Q4,52586982,271732.19,46069.39,32482.4,0.0,32482.4,0.0,0.0
2014Q3,52586982,271364.3,43144.99,62597.16,50332.42,12264.74,0.0,0.0
2014Q2,52586982,207780.96,22183.15,50475.07,17331.41,33143.66,0.0,0.0
2014Q1,52586982,232522.79,28403.61,39780.72,20957.17,18823.55,0.0,0.0
2013Q4,52586982,61098.68,0.0,10140.52,10140.52,0.0,0.0,0.0
2013Q3,52586982,21116.25,0.0,6500.37,0.0,6500.37,0.0,0.0
2013Q2,52586982,350672.43,80613.56,62717.88,0.0,0.0,0.0,0.0
2013Q1,52586982,379406.38,72681.43,125349.3,125349.3,0.0,0.0,0.0
2012Q4,52586982,222439.71,25780.05,39315.28,15464.47,23850.81,0.0,0.0
2012Q3,52586982,250814.22,39238.91,36938.82,20712.52,16226.3,0.0,0.0
2012Q2,52586982,224280.78,31358.86,26386.43,20881.41,5505.02,0.0,0.0
2012Q1,52586982,171809.15,13294.95,25602.4,13073.73,12528.68,0.0,0.0
2011Q4,52586982,220754.32,25395.53,56961.29,25224.21,31737.08,0.0,0.0
2011Q3,52586982,253972.21,29198.29,93149.81,93149.81,0.0,0.0,0.0
2011Q2,52586982,309884.62,54390.0,86932.89,35977.88,50955.01,0.0,0.0
2011Q1,52586982,201788.07,15787.07,90268.26,19966.57,21125.65,0.0,49176.04
2010Q4,52586982,233709.01,30880.69,55803.25,22990.97,32812.28,0.0,0.0
2010Q3,52586982,176354.59,17750.77,6113.14,2854.04,3259.11,0.0,0.0
2010Q2,52586982,304671.3,60792.93,50107.23,36490.78,13616.45,0.0,0.0
